ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
9729,M,26,180,73,France,1980,Athletics,NA
9773,M,19,185,76,Italy,2008,Swimming,NA
9791,F,20,162,58,Russia,1960,Swimming,NA
9816,F,21,172,60,Russia,2008,Swimming,NA
10047,M,26,175,70,Italy,2000,Cycling,NA
10055,F,15,177,51,Canada,1972,Swimming,NA
10136,F,23,185,74,USA,2000,Swimming,Gold
10162,M,26,188,115,UK,2016,Athletics,NA
10170,M,23,173,69,USA,1972,Athletics,NA
10172,F,19,168,63,Australia,1964,Athletics,NA
10172,F,19,168,63,Australia,1964,Athletics,NA
10172,F,23,168,63,Australia,1968,Athletics,NA
10180,M,23,183,71,UK,1972,Cycling,NA
10180,M,23,183,71,UK,1972,Cycling,Bronze
10188,M,26,170,64,UK,1988,Athletics,NA
10213,F,21,175,55,France,1984,Swimming,NA
10337,M,20,188,93,USA,2008,Swimming,Gold
10365,M,23,186,84,Russia,1964,Swimming,NA
10462,M,20,182,73,Germany,1964,Athletics,NA
10585,M,23,183,70,USA,2016,Athletics,NA
10592,M,19,185,72,Australia,1984,Swimming,NA
10600,M,19,183,73,USA,1968,Swimming,NA
10654,M,20,188,70,USA,1912,Athletics,NA
10683,M,23,180,78,France,1924,Athletics,NA
10691,F,23,165,53,Canada,2016,Athletics,NA
10702,F,23,170,63,UK,1976,Athletics,NA
10733,M,25,198,81,Germany,1988,Swimming,NA
10785,M,27,180,67,Canada,1992,Athletics,NA
10881,M,24,173,70,Canada,1964,Athletics,NA
10902,F,19,170,60,Italy,1956,Athletics,NA
10902,F,23,170,60,Italy,1960,Athletics,NA
10907,M,23,176,63,France,1972,Athletics,NA
10966,F,21,166,55,Russia,1972,Athletics,NA
10966,F,25,166,55,Russia,1976,Athletics,Bronze
11001,M,27,176,67,Russia,1972,Athletics,NA
11042,M,22,187,82,Canada,1984,Athletics,NA
11070,M,30,178,57,Italy,1992,Athletics,NA
11118,F,20,164,57,UK,1988,Swimming,NA
11139,M,24,196,95,Germany,1964,Athletics,NA
11147,F,19,170,60,Germany,1984,Swimming,NA
11147,F,19,170,60,Germany,1984,Swimming,Silver
11147,F,23,170,60,Germany,1988,Swimming,NA
11248,M,21,183,74,Italy,1964,Swimming,NA
11312,M,31,180,60,USA,1988,Athletics,NA
11317,M,26,176,68,UK,1972,Athletics,NA
11351,M,21,193,93,Germany,2008,Swimming,NA
11351,M,25,193,93,Germany,2012,Swimming,NA
11433,M,21,175,72,UK,1992,Athletics,NA
11437,F,20,173,61,UK,1960,Athletics,NA
11462,F,24,177,68,Russia,2004,Athletics,NA
11589,M,21,172,70,Italy,1980,Cycling,NA
11615,F,22,160,61,Canada,2016,Athletics,NA
11631,M,27,183,78,Australia,1976,Athletics,NA
11642,M,18,200,95,USA,1984,Swimming,Gold
11711,M,31,202,120,Germany,1972,Athletics,NA
11713,M,27,189,71,Australia,2012,Athletics,NA
11735,F,23,167,66,UK,1948,Athletics,NA
11740,F,25,165,72,Russia,1980,Athletics,NA
11787,F,27,173,56,Canada,2016,Athletics,NA
11983,M,21,186,80,USA,1972,Athletics,Silver
12062,F,16,187,64,France,1992,Swimming,NA
12062,F,16,187,64,France,1992,Swimming,NA
12232,F,30,167,46,UK,2012,Athletics,NA
12232,F,30,167,46,UK,2012,Athletics,NA
12233,F,24,175,67,UK,2016,Athletics,NA
12351,M,25,186,80,France,1988,Athletics,NA
12396,M,22,180,68,Germany,1996,Athletics,NA
12398,M,26,180,68,Germany,2000,Athletics,NA
12410,F,22,163,49,Australia,2016,Athletics,NA
12414,M,25,197,120,USA,1992,Athletics,NA
12455,M,26,193,84,Canada,2000,Athletics,NA
12513,M,22,188,72,France,1964,Athletics,NA
12541,M,22,178,67,Russia,1992,Cycling,NA
12572,M,23,180,75,France,1972,Cycling,NA
12606,M,22,185,80,France,2008,Swimming,NA
12657,F,21,174,66,Australia,1988,Athletics,NA
12726,M,21,184,72,Russia,2000,Athletics,NA
12754,F,18,170,55,Italy,2004,Swimming,NA
12781,F,26,163,46,Russia,2004,Athletics,NA
12784,F,28,166,54,Russia,1992,Athletics,NA
12798,F,18,182,70,Russia,1988,Swimming,NA
12798,F,18,182,70,Russia,1988,Swimming,NA
13018,M,26,173,64,Russia,1956,Athletics,NA
13094,F,17,201,92,Italy,1984,Cycling,NA
13123,F,28,183,67,Canada,1996,Athletics,NA
13132,M,24,175,74,Russia,1960,Athletics,NA
13197,M,30,179,60,USA,1912,Athletics,NA
13197,M,30,179,60,USA,1912,Athletics,NA
13223,M,22,176,70,France,1952,Athletics,NA
13368,F,21,163,52,UK,1976,Athletics,NA
13369,F,18,173,66,USA,2012,Swimming,NA
13387,M,22,178,68,USA,1928,Athletics,NA
13416,M,20,185,71,France,1988,Swimming,NA
13428,M,29,180,68,Italy,1988,Athletics,Gold
13486,M,20,171,71,Italy,1972,Cycling,NA
13511,M,22,180,70,Russia,2000,Cycling,NA
13550,F,18,171,59,Germany,1972,Swimming,NA
13558,F,29,172,61,Germany,2000,Athletics,NA
13571,F,18,168,62,Germany,1968,Athletics,NA
13658,M,24,178,75,Germany,1972,Athletics,NA
13669,F,16,168,61,Italy,1976,Swimming,NA
13691,M,26,183,80,Russia,1976,Athletics,Bronze
13713,M,17,190,84,Italy,1964,Swimming,NA
13754,F,34,170,57,France,2016,Athletics,NA
13770,M,24,185,68,France,2016,Athletics,NA
13797,M,21,187,74,USA,1960,Athletics,Gold
13804,M,26,189,66,Canada,2004,Athletics,NA
13854,F,16,173,61,USA,1960,Swimming,Gold
13930,M,30,187,74,USA,2000,Cycling,NA
14010,M,19,172,70,France,1908,Athletics,Bronze
14041,M,21,169,70,France,1960,Swimming,NA
14054,M,27,185,68,UK,1968,Athletics,NA
14112,M,25,175,58,Canada,1996,Athletics,NA
14159,M,19,188,86,France,2000,Swimming,NA
14185,M,20,182,67,France,1984,Cycling,NA
14258,F,25,157,50,Australia,1968,Athletics,NA
14258,F,25,157,50,Australia,1968,Athletics,NA
14293,F,18,174,63,Germany,1968,Swimming,NA
14293,F,18,174,63,Germany,1968,Swimming,NA
14294,M,19,183,70,France,1968,Athletics,NA
14294,M,27,183,70,France,1976,Athletics,NA
14374,F,21,168,57,Australia,1972,Athletics,NA
14374,F,21,168,57,Australia,1972,Athletics,NA
14505,M,27,170,62,UK,1960,Cycling,NA
14544,M,25,190,89,USA,1960,Athletics,Gold
14553,M,25,180,65,USA,1988,Athletics,NA
14579,M,23,190,89,Canada,1996,Swimming,NA
